movimiento_id,buque_id,matricula,radar_id,muelle,tipo_carga,origen,fecha_ingreso,hora_ingreso,fecha_egreso,hora_egreso,tonelaje_declarado,velocidad_ingreso,velocidad_maxima_muelle,estado_despacho,duracion_horas,exceso_velocidad_real,exceso_velocidad
MOV-00056,B-020,COSCOTIGRE,R-08,MUELLEE,CONTENEDORES,ROTTERDAM,2022-07-10,14:43,2022-07-13,23:39,5739.47,13.9,10,DESPACHADO,80.93333333333334,3.9000000000000004,3.4000000000000004
MOV-00062,B-010,ZIMDELTA,R-01,MUELLEE,SOJA,SAO PAULO,2023-11-15,06:26,2023-11-18,21:09,3834.7,13.1,12,DESPACHADO,86.71666666666667,1.0999999999999996,0.4999999999999982
MOV-00063,B-017,YANGESTE,,MUELLEB,TRIGO,VALPARAISO,2024-04-28,09:45,2024-04-29,00:00,5506.97,20.0,12,EN_REVISION,14.25,8.0,7.399999999999999
MOV-00065,B-004,COSCOSTAR,R-04,MUELLEE,GRANOS,MONTEVIDEO,2024-09-08,12:50,2024-09-11,11:19,5551.09,10.7,10,RECHAZADO,70.48333333333333,0.6999999999999993,0.1999999999999993
MOV-00068,B-037,MAERSKLIMA,,MUELLEE,TRIGO,MONTEVIDEO,2023-10-25,06:45,2023-10-28,22:57,4314.36,15.2,10,PENDIENTE,88.2,5.199999999999999,4.699999999999999
MOV-00072,B-015,YANGMING,R-03,MUELLED,GRANOS,ROTTERDAM,2021-06-06,06:21,2021-06-06,03:44,4397.33,11.4,10,RECHAZADO,,1.4000000000000004,0.9000000000000004
MOV-00074,B-038,PILOESTE,,MUELLEC,MAIZ,SAO PAULO,2022-10-19,17:41,2022-10-21,00:25,5195.16,15.9,10,EN_REVISION,30.733333333333334,5.9,5.4
MOV-00081,B-021,HAPAGRIO,R-07,MUELLEC,HARINA,HAMBURG,2022-01-17,03:59,2022-01-18,07:00,4553.31,14.2,12,PENDIENTE,27.016666666666666,2.1999999999999993,1.5999999999999979
MOV-00085,B-032,ONEPLATA,R-06,MUELLEE,CONTENEDORES,ROTTERDAM,2020-12-19,21:45,2020-12-21,00:00,3661.36,16.7,15,DESPACHADO,26.25,1.6999999999999993,0.9499999999999993
MOV-00088,B-011,YANGESTE,R-03,MUELLEB,TRIGO,SANTA FE,2021-10-24,22:18,2021-10-26,15:18,3415.63,11.2,10,EN_REVISION,41.0,1.1999999999999993,0.6999999999999993
MOV-00089,B-026,HAPAGSUR,R-03,MUELLEE,HARINA,ROTTERDAM,2022-04-05,16:47,2022-04-07,18:29,3376.24,13.3,10,RECHAZADO,49.7,3.3000000000000007,2.8000000000000007
MOV-00097,B-024,MAERSKLIMA,,MUELLEB,TRIGO,SANTA FE,1900-01-01,09:20,2024-05-04,23:36,6218.43,13.4,12,RECHAZADO,,1.4000000000000004,0.7999999999999989
MOV-00098,B-023,MSCGENOVA,R-06,MUELLEA,CONTENEDORES,VALPARAISO,2022-10-04,01:09,2022-10-05,22:10,5952.49,20.2,12,DESPACHADO,45.016666666666666,8.2,7.599999999999998
MOV-00101,B-029,CMAROSARIO,R-02,MUELLEC,SOJA,SANTA FE,1900-01-01,23:25,2024-08-12,21:51,7588.44,14.1,12,RECHAZADO,,2.0999999999999996,1.4999999999999982
MOV-00102,B-013,ONEPLATA,R-04,MUELLEF,GRANOS,ROTTERDAM,1900-01-01,16:20,2023-03-06,19:52,2924.29,12.7,12,EN_REVISION,,0.6999999999999993,0.09999999999999787
MOV-00108,B-019,COSCOSTAR,R-08,MUELLEA,HARINA,ROTTERDAM,2023-08-07,17:24,2023-08-08,17:21,3238.98,12.3,10,RECHAZADO,23.95,2.3000000000000007,1.8000000000000007
MOV-00110,B-005,COSCOSTAR,R-07,MUELLEE,CONTENEDORES,SHANGHAI,2024-05-29,22:39,2024-06-01,22:57,2342.09,11.2,10,EN_REVISION,72.3,1.1999999999999993,0.6999999999999993
MOV-00112,B-014,MAERSKPAMPAS,R-08,MUELLEE,ACEITE,SANTA FE,2020-10-04,16:56,2020-10-04,01:16,6728.89,13.9,12,PENDIENTE,,1.9000000000000004,1.299999999999999
MOV-00113,B-031,PILOESTE,R-06,MUELLEC,MAIZ,VALPARAISO,2024-10-14,00:00,2024-10-16,00:00,,14.9,10,DESPACHADO,48.0,4.9,4.4
MOV-00116,B-036,HAPAGRIO,R-06,MUELLEF,SOJA,SAO PAULO,2024-06-02,10:23,2024-06-03,03:40,5405.43,18.0,12,EN_REVISION,17.283333333333335,6.0,5.399999999999999
MOV-00121,B-007,PILSANTA,R-04,MUELLED,HARINA,VALPARAISO,2024-10-11,00:00,2024-10-13,00:00,7090.14,13.7,10,RECHAZADO,48.0,3.6999999999999993,3.1999999999999993
MOV-00127,B-009,CMAROSARIO,R-07,MUELLEE,HARINA,SHANGHAI,2023-11-07,11:58,2023-11-08,05:32,5509.85,16.0,12,PENDIENTE,17.566666666666666,4.0,3.3999999999999986
MOV-00128,B-034,MAERSKLIMA,R-01,MUELLED,MAIZ,SANTA FE,2021-08-09,21:16,2021-08-10,12:04,5618.79,16.8,10,DESPACHADO,14.8,6.800000000000001,6.300000000000001
MOV-00133,B-008,ZIMNORTE,R-01,MUELLEF,SOJA,SANTA FE,2024-05-30,21:19,2024-05-31,04:04,4111.59,14.8,12,DESPACHADO,6.75,2.8000000000000007,2.1999999999999993
MOV-00136,B-031,CMALITORAL,R-08,MUELLEC,HARINA,HAMBURG,2024-10-24,04:57,2024-10-27,11:29,5737.11,15.7,12,DESPACHADO,78.53333333333333,3.6999999999999993,3.099999999999998
MOV-00137,B-026,ZIMDELTA,R-05,MUELLEB,MINERALES,BUENOS AIRES,2024-10-02,19:43,2024-10-03,18:48,4885.13,12.3,10,RECHAZADO,23.083333333333332,2.3000000000000007,1.8000000000000007
MOV-00140,B-026,YANGESTE,R-01,MUELLEF,HARINA,BUENOS AIRES,2020-12-15,07:53,2020-12-17,00:00,1422.1,15.0,12,PENDIENTE,40.11666666666667,3.0,2.3999999999999986
MOV-00142,B-019,YANGESTE,R-07,MUELLEC,TRIGO,SANTA FE,2022-02-07,20:13,2022-02-09,00:13,4469.82,11.3,10,DESPACHADO,28.0,1.3000000000000007,0.8000000000000007
MOV-00143,B-037,EVERGREEN02,R-07,MUELLEF,MAIZ,BUENOS AIRES,2020-07-24,06:32,2020-07-26,09:21,3243.42,13.5,10,PENDIENTE,50.81666666666667,3.5,3.0
MOV-00145,B-005,COSCOSTAR,R-05,MUELLEF,ACEITE,SHANGHAI,2022-04-07,18:00,2022-04-09,00:09,5457.35,19.6,12,EN_REVISION,30.15,7.600000000000001,7.0
MOV-00146,B-030,PILOESTE,R-01,MUELLED,SOJA,VALPARAISO,2023-10-18,22:14,2023-10-20,04:19,3433.59,15.6,10,DESPACHADO,30.083333333333332,5.6,5.1
MOV-00147,B-013,HAPAGSUR,R-04,MUELLEB,TRIGO,VALPARAISO,2021-12-30,00:00,2021-12-30,10:55,5296.73,17.6,15,PENDIENTE,10.916666666666666,2.6000000000000014,1.8500000000000014
MOV-00149,B-024,EVERGREEN02,R-07,MUELLEC,MINERALES,MONTEVIDEO,2024-01-16,08:51,2024-01-17,17:47,6811.06,11.4,10,PENDIENTE,32.93333333333333,1.4000000000000004,0.9000000000000004
MOV-00160,B-007,EVERGLORY,R-07,MUELLEF,MINERALES,VALPARAISO,2020-01-27,06:41,2020-01-30,05:06,3906.55,15.0,10,DESPACHADO,70.41666666666667,5.0,4.5
MOV-00169,B-016,PILOESTE,R-03,MUELLED,HARINA,SHANGHAI,2023-04-04,17:43,2023-04-05,04:11,4211.84,11.5,10,RECHAZADO,10.466666666666667,1.5,1.0
MOV-00170,B-021,MAERSKPAMPAS,R-07,MUELLEC,MINERALES,VALPARAISO,2020-02-23,00:00,2020-02-25,18:20,5103.71,10.6,10,PENDIENTE,66.33333333333333,0.5999999999999996,0.09999999999999964
MOV-00172,B-016,ONEPLATA,R-07,MUELLEF,GRANOS,ROTTERDAM,2024-05-03,09:29,2024-05-04,21:32,5476.51,15.0,12,DESPACHADO,36.05,3.0,2.3999999999999986
MOV-00176,B-014,YANGESTE,R-01,MUELLEA,SOJA,HAMBURG,2022-12-12,18:39,2022-12-14,00:00,2911.86,14.6,12,EN_REVISION,29.35,2.5999999999999996,1.9999999999999982
MOV-00179,B-024,CMALITORAL,,MUELLEB,HARINA,MONTEVIDEO,2020-07-08,14:32,2020-07-08,23:40,4766.89,12.6,10,DESPACHADO,9.133333333333333,2.5999999999999996,2.0999999999999996
MOV-00181,B-019,PILOESTE,R-04,MUELLEB,SOJA,VALPARAISO,2022-08-22,21:03,2022-08-23,01:25,4625.31,11.8,10,EN_REVISION,4.366666666666666,1.8000000000000007,1.3000000000000007
MOV-00189,B-039,HAPAGRIO,R-03,MUELLEF,MINERALES,SHANGHAI,2021-01-05,16:55,2021-01-06,06:13,4868.31,16.6,12,PENDIENTE,13.3,4.600000000000001,4.0
MOV-00190,B-011,CMALITORAL,R-07,MUELLED,HARINA,HAMBURG,1900-01-01,04:33,2021-06-23,07:52,3633.6,15.2,12,PENDIENTE,,3.1999999999999993,2.599999999999998
MOV-00192,B-039,CMAROSARIO,R-07,MUELLEF,MAIZ,BUENOS AIRES,2023-08-01,14:59,2023-08-03,22:58,4971.79,15.4,10,PENDIENTE,55.983333333333334,5.4,4.9
MOV-00194,B-015,MSCGENOVA,R-07,MUELLEF,MINERALES,BUENOS AIRES,2023-07-18,20:05,2023-07-20,00:00,4489.78,14.2,10,EN_REVISION,27.916666666666668,4.199999999999999,3.6999999999999993
MOV-00195,B-009,EVERGLORY,R-04,MUELLEA,TRIGO,HAMBURG,1900-01-01,17:53,2022-10-23,17:46,6380.91,13.4,12,RECHAZADO,,1.4000000000000004,0.7999999999999989
MOV-00199,B-008,CMAROSARIO,R-08,MUELLED,MAIZ,MONTEVIDEO,2022-06-09,08:21,2022-06-11,04:05,6076.86,13.0,10,DESPACHADO,43.733333333333334,3.0,2.5
MOV-00200,B-027,ONEPARANA,R-07,MUELLEB,SOJA,HAMBURG,2023-06-02,14:11,2023-06-04,17:01,6209.9,13.1,10,RECHAZADO,50.833333333333336,3.0999999999999996,2.5999999999999996
MOV-00204,B-015,MSCALPHA,R-06,MUELLEC,CONTENEDORES,VALPARAISO,2022-10-23,16:53,2022-10-24,19:46,6017.96,13.1,12,DESPACHADO,26.883333333333333,1.0999999999999996,0.4999999999999982
MOV-00206,B-030,YANGMING,R-03,MUELLEC,MAIZ,VALPARAISO,2020-10-30,11:18,2020-11-02,07:21,1826.69,12.8,10,PENDIENTE,68.05,2.8000000000000007,2.3000000000000007
MOV-00208,B-003,CMAROSARIO,R-02,MUELLEC,GRANOS,ROTTERDAM,2023-05-30,20:12,2023-06-02,13:21,4501.51,12.4,10,PENDIENTE,65.15,2.4000000000000004,1.9000000000000004
MOV-00217,B-038,MAERSKLIMA,R-03,MUELLEA,ACEITE,SAO PAULO,2020-09-08,07:53,2020-09-10,11:43,5711.2,17.5,12,EN_REVISION,51.833333333333336,5.5,4.899999999999999
MOV-00220,B-019,MSCALPHA,R-01,MUELLEA,GRANOS,MONTEVIDEO,2024-04-16,20:21,2024-04-19,00:00,,16.0,10,EN_REVISION,51.65,6.0,5.5
MOV-00224,B-028,EVERGLORY,R-04,MUELLEB,HARINA,MONTEVIDEO,2023-02-01,05:41,1900-01-01,14:22,4885.84,17.4,15,DESPACHADO,,2.3999999999999986,1.6499999999999986
MOV-00228,B-011,ZIMDELTA,R-03,MUELLEE,CONTENEDORES,SHANGHAI,2020-12-21,21:37,2020-12-23,05:06,3061.88,12.7,12,RECHAZADO,31.483333333333334,0.6999999999999993,0.09999999999999787
MOV-00230,B-027,HAPAGRIO,R-07,MUELLEB,GRANOS,VALPARAISO,2022-01-27,18:43,2022-01-30,23:49,5119.68,15.3,10,EN_REVISION,77.1,5.300000000000001,4.800000000000001
MOV-00238,B-026,YANGMING,R-02,MUELLEB,MAIZ,SANTA FE,2024-10-25,00:13,2024-10-27,23:34,5163.81,12.3,10,PENDIENTE,71.35,2.3000000000000007,1.8000000000000007
MOV-00240,B-040,EVERGREEN02,R-08,MUELLEF,CONTENEDORES,SANTA FE,2022-06-16,07:32,2022-06-17,22:06,4814.52,13.9,12,PENDIENTE,38.56666666666667,1.9000000000000004,1.299999999999999
MOV-00241,B-006,HAPAGSUR,R-03,MUELLEB,TRIGO,MONTEVIDEO,2021-09-13,07:13,2021-09-13,00:00,6002.7,13.8,12,RECHAZADO,,1.8000000000000007,1.1999999999999993
MOV-00245,B-023,COSCOTIGRE,R-04,MUELLEC,SOJA,SANTA FE,2022-12-01,00:00,2022-12-03,17:16,3527.05,15.0,10,EN_REVISION,65.26666666666667,5.0,4.5
MOV-00247,B-006,EVERGLORY,R-07,MUELLEB,MINERALES,SAO PAULO,2023-04-19,17:33,2023-04-21,00:01,6590.95,14.1,12,RECHAZADO,30.466666666666665,2.0999999999999996,1.4999999999999982
MOV-00254,B-022,PILSANTA,R-08,MUELLEC,TRIGO,SHANGHAI,1900-01-01,22:08,1900-01-01,19:49,5742.74,19.4,12,EN_REVISION,,7.399999999999999,6.799999999999997
MOV-00255,B-025,YANGESTE,,MUELLED,MAIZ,SANTA FE,2020-01-20,07:47,2020-01-20,08:45,2261.35,13.6,12,DESPACHADO,0.9666666666666667,1.5999999999999996,0.9999999999999982
MOV-00259,B-019,COSCOTIGRE,R-07,MUELLEA,CONTENEDORES,SAO PAULO,2024-12-07,19:39,2024-12-08,12:41,3716.45,13.0,12,DESPACHADO,17.033333333333335,1.0,0.3999999999999986
MOV-00262,B-024,EVERGLORY,R-01,MUELLEB,TRIGO,VALPARAISO,2021-11-26,17:15,2021-11-27,06:07,5181.36,14.3,10,PENDIENTE,12.866666666666667,4.300000000000001,3.8000000000000007
MOV-00264,B-011,ONEPLATA,R-07,MUELLEF,ACEITE,HAMBURG,2023-11-23,15:45,2023-11-26,18:11,5817.49,16.3,15,RECHAZADO,74.43333333333334,1.3000000000000007,0.5500000000000007
MOV-00268,B-025,ONEPARANA,R-07,MUELLEA,CONTENEDORES,SAO PAULO,2023-08-01,09:05,1900-01-01,02:32,6208.92,14.5,12,RECHAZADO,,2.5,1.8999999999999986
MOV-00270,B-030,PILOESTE,R-01,MUELLEF,SOJA,VALPARAISO,2022-03-11,19:52,2022-03-12,22:17,3681.56,16.7,12,RECHAZADO,26.416666666666668,4.699999999999999,4.099999999999998
MOV-00274,B-013,YANGESTE,R-04,MUELLEE,CONTENEDORES,ROTTERDAM,1900-01-01,00:25,2020-12-22,16:30,5062.63,13.4,12,DESPACHADO,,1.4000000000000004,0.7999999999999989
MOV-00275,B-017,MAERSKLIMA,R-06,MUELLEF,CONTENEDORES,MONTEVIDEO,2021-10-13,21:30,2021-10-14,08:24,5918.93,16.5,15,EN_REVISION,10.9,1.5,0.75
MOV-00283,B-001,COSCOTIGRE,R-05,MUELLED,MINERALES,SHANGHAI,2021-10-07,07:23,2021-10-09,13:43,4060.33,15.9,12,RECHAZADO,54.333333333333336,3.9000000000000004,3.299999999999999
MOV-00284,B-031,ONEPLATA,R-07,MUELLEF,TRIGO,SANTA FE,2024-07-11,23:20,2024-07-14,12:25,6127.94,12.3,10,EN_REVISION,61.083333333333336,2.3000000000000007,1.8000000000000007
MOV-00285,B-033,EVERGLORY,R-03,MUELLED,SOJA,VALPARAISO,2022-09-14,21:34,2022-09-16,01:40,5642.51,14.8,10,RECHAZADO,28.1,4.800000000000001,4.300000000000001
MOV-00289,B-019,YANGMING,R-04,MUELLEF,CONTENEDORES,BUENOS AIRES,2024-10-06,22:19,2024-10-09,00:00,4054.49,16.8,10,PENDIENTE,49.68333333333333,6.800000000000001,6.300000000000001
MOV-00290,B-011,EVERGLORY,R-02,MUELLEC,MINERALES,MONTEVIDEO,2023-04-30,13:09,2023-05-02,23:55,6069.33,14.4,12,,58.766666666666666,2.4000000000000004,1.799999999999999
MOV-00291,B-008,COSCOSTAR,R-02,MUELLED,TRIGO,SANTA FE,2021-01-05,12:30,2021-01-07,14:43,4705.22,16.9,15,RECHAZADO,50.21666666666667,1.8999999999999986,1.1499999999999986
MOV-00293,B-032,MSCALPHA,R-06,MUELLEE,TRIGO,BUENOS AIRES,2024-10-19,06:08,2024-10-20,01:21,5062.71,13.9,12,DESPACHADO,19.216666666666665,1.9000000000000004,1.299999999999999
MOV-00299,B-020,EVERGREEN02,R-02,MUELLEA,ACEITE,MONTEVIDEO,2021-02-08,02:33,1900-01-01,18:24,4661.29,13.1,12,RECHAZADO,,1.0999999999999996,0.4999999999999982
MOV-00300,B-001,EVERGREEN02,R-04,MUELLEA,TRIGO,VALPARAISO,2020-03-05,05:42,2020-03-06,03:50,5837.47,14.3,12,DESPACHADO,22.133333333333333,2.3000000000000007,1.6999999999999993
MOV-00302,B-012,ONEPARANA,R-03,MUELLEB,SOJA,MONTEVIDEO,2022-05-23,00:39,2022-05-24,14:44,8552.11,14.2,10,RECHAZADO,38.083333333333336,4.199999999999999,3.6999999999999993
MOV-00303,B-003,MSCGENOVA,R-01,MUELLEF,ACEITE,SAO PAULO,2022-06-01,05:16,1900-01-01,00:00,2416.08,13.1,10,EN_REVISION,,3.0999999999999996,2.5999999999999996
MOV-00310,B-025,MAERSKLIMA,R-08,MUELLEB,SOJA,SAO PAULO,2023-06-14,10:07,2023-06-16,07:50,5940.1,11.3,10,DESPACHADO,45.71666666666667,1.3000000000000007,0.8000000000000007
MOV-00311,B-005,MSCGENOVA,R-03,MUELLEF,MAIZ,SHANGHAI,2024-07-26,02:07,2024-07-28,02:32,3517.3,15.0,12,PENDIENTE,48.416666666666664,3.0,2.3999999999999986
MOV-00315,B-030,HAPAGSUR,R-06,MUELLEF,CONTENEDORES,ROTTERDAM,2021-02-02,08:06,2021-02-03,20:11,,13.0,12,PENDIENTE,36.083333333333336,1.0,0.3999999999999986
MOV-00318,B-011,YANGMING,R-03,MUELLEA,HARINA,SHANGHAI,2021-06-12,15:16,2021-06-15,15:21,5638.67,13.0,12,EN_REVISION,72.08333333333333,1.0,0.3999999999999986
MOV-00320,B-014,HAPAGSUR,R-02,MUELLEC,MINERALES,SANTA FE,2021-10-17,18:02,2021-10-19,00:00,5638.09,11.5,10,PENDIENTE,29.966666666666665,1.5,1.0
MOV-00322,B-021,MSCGENOVA,R-03,MUELLED,MAIZ,HAMBURG,2021-06-22,16:46,2021-06-22,10:35,7401.79,17.2,12,EN_REVISION,,5.199999999999999,4.599999999999998
MOV-00334,B-004,PILSANTA,R-01,MUELLEA,GRANOS,VALPARAISO,2021-07-06,22:10,2021-07-07,00:00,4842.24,16.6,12,DESPACHADO,1.8333333333333333,4.600000000000001,4.0
MOV-00335,B-019,COSCOSTAR,R-06,MUELLEE,TRIGO,SAO PAULO,2020-01-27,21:13,2020-01-30,02:28,6248.54,13.6,10,DESPACHADO,53.25,3.5999999999999996,3.0999999999999996
MOV-00337,B-007,EVERGLORY,R-07,MUELLEF,CONTENEDORES,SAO PAULO,2022-12-20,19:31,2022-12-23,00:07,5277.83,13.7,12,EN_REVISION,52.6,1.6999999999999993,1.0999999999999979
MOV-00342,B-038,MAERSKLIMA,R-01,MUELLED,HARINA,SANTA FE,2021-05-29,04:22,2021-05-30,17:16,3637.09,16.6,10,RECHAZADO,36.9,6.600000000000001,6.100000000000001
MOV-00344,B-030,MAERSKPAMPAS,R-07,MUELLED,GRANOS,SANTA FE,2024-05-30,07:37,2024-06-02,09:26,5561.19,12.9,12,RECHAZADO,73.81666666666666,0.9000000000000004,0.29999999999999893
MOV-00348,B-014,EVERGREEN02,R-07,MUELLEE,SOJA,MONTEVIDEO,2022-07-30,22:54,2022-07-31,17:15,3857.73,15.8,12,PENDIENTE,18.35,3.8000000000000007,3.1999999999999993
MOV-00353,B-003,EVERGREEN02,R-02,MUELLED,SOJA,HAMBURG,2022-10-14,00:00,2022-10-16,00:06,4954.97,12.9,10,PENDIENTE,48.1,2.9000000000000004,2.4000000000000004
MOV-00355,B-019,CMAROSARIO,R-07,MUELLED,SOJA,BUENOS AIRES,2023-12-15,23:52,2023-12-18,11:33,4998.12,15.8,12,DESPACHADO,59.68333333333333,3.8000000000000007,3.1999999999999993
MOV-00361,B-033,ONEPLATA,R-06,MUELLEB,CONTENEDORES,SANTA FE,2020-06-07,07:36,2020-06-10,10:15,1917.76,19.1,10,PENDIENTE,74.65,9.100000000000001,8.600000000000001
MOV-00363,B-027,MAERSKPAMPAS,R-03,MUELLEE,MINERALES,SAO PAULO,2022-05-07,08:48,1900-01-01,02:57,5151.36,11.6,10,PENDIENTE,,1.5999999999999996,1.0999999999999996
MOV-00365,B-007,ZIMDELTA,R-05,MUELLED,ACEITE,SANTA FE,2020-10-20,01:52,2020-10-21,22:22,4740.42,14.9,10,RECHAZADO,44.5,4.9,4.4
MOV-00369,B-008,YANGMING,R-07,MUELLED,ACEITE,SAO PAULO,2023-09-14,03:22,2023-09-16,08:23,6001.8,14.2,12,RECHAZADO,53.016666666666666,2.1999999999999993,1.5999999999999979
MOV-00375,B-001,HAPAGRIO,R-02,MUELLEB,TRIGO,HAMBURG,2023-07-06,16:31,2023-07-07,07:40,6223.03,12.8,10,DESPACHADO,15.15,2.8000000000000007,2.3000000000000007
MOV-00378,B-011,MSCGENOVA,R-04,MUELLEB,SOJA,MONTEVIDEO,2020-06-08,01:08,2020-06-10,07:56,6247.2,17.3,12,PENDIENTE,54.8,5.300000000000001,4.699999999999999
MOV-00381,B-009,COSCOSTAR,R-07,MUELLEA,GRANOS,HAMBURG,2024-10-12,06:41,2024-10-12,23:06,4069.0,17.5,12,DESPACHADO,16.416666666666668,5.5,4.899999999999999
MOV-00383,B-020,ONEPARANA,R-03,MUELLEC,GRANOS,ROTTERDAM,2022-04-27,07:53,2022-04-28,22:21,5288.55,13.5,12,EN_REVISION,38.46666666666667,1.5,0.8999999999999986
MOV-00384,B-028,EVERGREEN02,R-05,MUELLEB,ACEITE,VALPARAISO,2022-08-15,08:02,2022-08-16,09:17,4177.33,11.8,10,DESPACHADO,25.25,1.8000000000000007,1.3000000000000007
MOV-00386,B-011,YANGMING,R-04,MUELLEE,MAIZ,MONTEVIDEO,2021-09-25,04:51,1900-01-01,03:39,5095.77,11.0,10,EN_REVISION,,1.0,0.5
MOV-00388,B-039,COSCOTIGRE,R-02,MUELLEF,TRIGO,MONTEVIDEO,2020-07-09,10:24,2020-07-10,02:07,5314.09,13.9,12,,15.716666666666667,1.9000000000000004,1.299999999999999
MOV-00394,B-034,EVERGREEN02,R-05,MUELLEC,ACEITE,HAMBURG,2023-07-02,11:36,2023-07-04,15:10,6651.49,12.8,10,RECHAZADO,51.56666666666667,2.8000000000000007,2.3000000000000007
MOV-00399,B-007,MSCALPHA,R-02,MUELLED,MINERALES,SAO PAULO,2024-05-31,14:44,2024-06-02,04:18,3993.35,15.8,12,EN_REVISION,37.56666666666667,3.8000000000000007,3.1999999999999993
MOV-00404,B-020,PILSANTA,R-04,MUELLEC,HARINA,VALPARAISO,2022-09-25,00:20,2022-09-27,07:19,6542.46,15.3,10,RECHAZADO,54.983333333333334,5.300000000000001,4.800000000000001
MOV-00405,B-020,YANGESTE,R-04,MUELLEE,MAIZ,SHANGHAI,2024-10-11,05:39,2024-10-12,21:47,5430.33,14.8,10,PENDIENTE,40.13333333333333,4.800000000000001,4.300000000000001
MOV-00406,B-027,MSCGENOVA,R-07,MUELLEA,CONTENEDORES,SHANGHAI,2024-08-03,22:12,2024-08-05,20:24,7023.15,11.2,10,PENDIENTE,46.2,1.1999999999999993,0.6999999999999993
MOV-00407,B-003,COSCOTIGRE,R-08,MUELLEB,HARINA,ROTTERDAM,2023-01-06,11:28,2023-01-08,23:06,6377.86,14.6,12,DESPACHADO,59.63333333333333,2.5999999999999996,1.9999999999999982
MOV-00415,B-035,CMALITORAL,R-03,MUELLEE,GRANOS,VALPARAISO,2021-10-23,21:34,2021-10-25,09:18,2456.01,13.2,10,RECHAZADO,35.733333333333334,3.1999999999999993,2.6999999999999993
